time	V(n002)	V(n013)
4.491540583983134e-03	-3.466443e-01	5.274230e-03
4.496423396483134e-03	-2.558828e-01	2.228087e-03
4.501306208983134e-03	-1.647603e-01	-8.244445e-04
4.506189021483134e-03	-7.327686e-02	-3.883365e-03
4.520837458983133e-03	2.005589e-01	-1.300523e-02
4.528510450054562e-03	3.442518e-01	-1.777103e-02
4.536183441125990e-03	4.863122e-01	-2.246870e-02
4.543856432197418e-03	6.267400e-01	-2.709826e-02
4.551529423268847e-03	7.655355e-01	-3.165970e-02
4.559202414340276e-03	9.026984e-01	-3.615302e-02
4.566875405411704e-03	1.038229e+00	-4.057822e-02
4.574548396483132e-03	1.172127e+00	-4.493529e-02
4.587801744697417e-03	1.398756e+00	-5.227114e-02
4.601055092911703e-03	1.612207e+00	-5.913546e-02
4.614308441125988e-03	1.812480e+00	-6.552825e-02
4.627561789340274e-03	1.999575e+00	-7.144952e-02
4.640815137554559e-03	2.173492e+00	-7.689927e-02
4.654068485768845e-03	2.334232e+00	-8.187749e-02
4.667321833983130e-03	2.481793e+00	-8.638418e-02
4.684062905411701e-03	2.641612e+00	-9.114830e-02
4.700803976840273e-03	2.769641e+00	-9.483802e-02
4.717545048268844e-03	2.865881e+00	-9.745334e-02
4.734286119697414e-03	2.930333e+00	-9.899426e-02
4.751027191125985e-03	2.962995e+00	-9.946078e-02
4.767768262554557e-03	2.963868e+00	-9.885289e-02
4.784509333983128e-03	2.932953e+00	-9.717060e-02
4.800552860768842e-03	2.868084e+00	-9.439514e-02
4.816596387554556e-03	2.777108e+00	-9.077836e-02
4.832639914340270e-03	2.660025e+00	-8.632026e-02
4.848683441125983e-03	2.516836e+00	-8.102085e-02
4.864726967911698e-03	2.347540e+00	-7.488012e-02
4.880770494697411e-03	2.152137e+00	-6.789807e-02
4.896814021483125e-03	1.930628e+00	-6.007470e-02
4.911462458983125e-03	1.714765e+00	-5.253001e-02
4.921228083983125e-03	1.561078e+00	-4.719565e-02
4.930993708983125e-03	1.403022e+00	-4.173640e-02
4.940759333983124e-03	1.240595e+00	-3.615229e-02
4.950524958983124e-03	1.073799e+00	-3.044330e-02
4.960290583983124e-03	9.026326e-01	-2.460943e-02
4.970056208983124e-03	7.270964e-01	-1.865069e-02
4.979821833983124e-03	5.471903e-01	-1.256707e-02
4.999353083983123e-03	1.850153e-01	-3.898040e-04
5.000000000000000e-03	1.729416e-01	1.464629e-05
