time	V(vo8)
4.474555191702297e-03	-1.891926e+00
4.480983763130870e-03	-1.802716e+00
4.487412334559442e-03	-1.711491e+00
4.493840905988014e-03	-1.618251e+00
4.500269477416587e-03	-1.522995e+00
4.502412334559444e-03	-1.491013e+00
4.504555191702301e-03	-1.458885e+00
4.506698048845159e-03	-1.426613e+00
4.508840905988016e-03	-1.394195e+00
4.510983763130874e-03	-1.361632e+00
4.513126620273731e-03	-1.328924e+00
4.515269477416589e-03	-1.296070e+00
4.522269477416590e-03	-1.187429e+00
4.529269477416590e-03	-1.078201e+00
4.536269477416591e-03	-9.683880e-01
4.543269477416592e-03	-8.579885e-01
4.550269477416593e-03	-7.470030e-01
4.557269477416594e-03	-6.354315e-01
4.564269477416595e-03	-5.232740e-01
4.568983763130882e-03	-4.480177e-01
4.573698048845168e-03	-3.730667e-01
4.578412334559454e-03	-2.984210e-01
4.583126620273740e-03	-2.240805e-01
4.587840905988027e-03	-1.500452e-01
4.592555191702313e-03	-7.631524e-02
4.597269477416599e-03	-2.890521e-03
4.601555191702314e-03	6.336845e-02
4.605840905988029e-03	1.290219e-01
4.610126620273744e-03	1.940697e-01
4.614412334559459e-03	2.585121e-01
4.618698048845174e-03	3.223488e-01
4.622983763130889e-03	3.855800e-01
4.627269477416603e-03	4.482057e-01
4.637698048845176e-03	5.984571e-01
4.648126620273749e-03	7.420669e-01
4.658555191702322e-03	8.790352e-01
4.668983763130895e-03	1.009362e+00
4.679412334559468e-03	1.133047e+00
4.689840905988040e-03	1.250091e+00
4.700269477416613e-03	1.360493e+00
4.708698048845186e-03	1.442921e+00
4.717126620273758e-03	1.519111e+00
4.725555191702330e-03	1.589063e+00
4.733983763130904e-03	1.652776e+00
4.742412334559476e-03	1.710251e+00
4.750840905988049e-03	1.761488e+00
4.759269477416621e-03	1.806486e+00
4.766840905988051e-03	1.840862e+00
4.774412334559480e-03	1.869568e+00
4.781983763130910e-03	1.892604e+00
4.789555191702339e-03	1.909970e+00
4.797126620273769e-03	1.921666e+00
4.804698048845198e-03	1.927691e+00
4.812269477416628e-03	1.928047e+00
4.825126620273772e-03	1.914477e+00
4.837983763130918e-03	1.885222e+00
4.850840905988062e-03	1.840283e+00
4.863698048845206e-03	1.779659e+00
4.876555191702350e-03	1.703351e+00
4.889412334559496e-03	1.611359e+00
4.902269477416640e-03	1.503682e+00
4.912412334559499e-03	1.408699e+00
4.922555191702357e-03	1.306642e+00
4.932698048845215e-03	1.197513e+00
4.942840905988074e-03	1.081310e+00
4.952983763130933e-03	9.580345e-01
4.963126620273791e-03	8.276859e-01
4.973269477416649e-03	6.902642e-01
4.976840905988079e-03	6.409558e-01
4.980412334559508e-03	5.910813e-01
4.983983763130937e-03	5.406408e-01
4.987555191702365e-03	4.896343e-01
4.991126620273794e-03	4.380617e-01
4.994698048845224e-03	3.859231e-01
4.998269477416653e-03	3.332184e-01
4.999269477416653e-03	3.183954e-01
5.000000000000000e-03	3.075485e-01
