time	V(vin4)	V(vo4)
2.517478738762418e-03	9.109941e-01	-9.979302e+00
2.519621595905275e-03	9.109922e-01	-9.979302e+00
2.521764453048133e-03	9.109902e-01	-9.979302e+00
2.527907310190990e-03	9.109846e-01	-9.979302e+00
2.534050167333849e-03	9.109789e-01	-9.979302e+00
2.540193024476706e-03	9.109733e-01	-9.979302e+00
2.546335881619565e-03	9.109677e-01	-9.979301e+00
2.552478738762422e-03	9.109621e-01	-9.979301e+00
2.558621595905280e-03	9.109565e-01	-9.979301e+00
2.564764453048138e-03	9.109508e-01	-9.979301e+00
2.567050167333853e-03	9.109487e-01	-9.979301e+00
2.569335881619568e-03	9.109467e-01	-9.979301e+00
2.571621595905282e-03	9.109446e-01	-9.979301e+00
2.573907310190996e-03	9.109425e-01	-9.979300e+00
2.576193024476711e-03	9.109404e-01	-9.979300e+00
2.578478738762426e-03	9.109383e-01	-9.979300e+00
2.580764453048140e-03	9.109362e-01	-9.979300e+00
2.588621595905284e-03	9.109290e-01	-9.979300e+00
2.596478738762428e-03	9.109218e-01	-9.979300e+00
2.604335881619572e-03	9.109146e-01	-9.979300e+00
2.612193024476716e-03	9.109074e-01	-9.979299e+00
2.620050167333860e-03	9.109002e-01	-9.979299e+00
2.627907310191004e-03	9.108930e-01	-9.979299e+00
2.635764453048148e-03	9.108858e-01	-9.979299e+00
2.647907310191006e-03	9.108747e-01	-9.979298e+00
2.660050167333865e-03	9.108636e-01	-9.979298e+00
2.672193024476724e-03	9.108525e-01	-9.979298e+00
2.684335881619583e-03	9.108414e-01	-9.979297e+00
2.696478738762441e-03	9.108303e-01	-9.979297e+00
2.708621595905300e-03	9.108192e-01	-9.979296e+00
2.720764453048159e-03	9.108080e-01	-9.979296e+00
2.726621595905303e-03	9.108027e-01	-9.979295e+00
2.732478738762446e-03	9.107973e-01	-9.979295e+00
2.738335881619590e-03	9.107919e-01	-9.979295e+00
2.744193024476733e-03	9.107866e-01	-9.979295e+00
2.750050167333877e-03	9.107812e-01	-9.979295e+00
2.755907310191021e-03	9.107758e-01	-9.979295e+00
2.761764453048164e-03	9.107705e-01	-9.979295e+00
2.764193024476736e-03	9.107682e-01	-9.979294e+00
2.766621595905308e-03	9.107660e-01	-9.979294e+00
2.769050167333880e-03	9.107638e-01	-9.979294e+00
2.771478738762451e-03	9.107616e-01	-9.979294e+00
2.773907310191023e-03	9.107593e-01	-9.979294e+00
2.776335881619595e-03	9.107571e-01	-9.979294e+00
2.778764453048167e-03	9.107549e-01	-9.979294e+00
2.785907310191025e-03	9.107484e-01	-9.979294e+00
2.793050167333883e-03	9.107418e-01	-9.979293e+00
2.800193024476741e-03	9.107353e-01	-9.979293e+00
2.807335881619599e-03	9.107288e-01	-9.979293e+00
2.814478738762457e-03	9.107222e-01	-9.979292e+00
2.821621595905315e-03	9.107157e-01	-9.979292e+00
2.828764453048173e-03	9.107091e-01	-9.979292e+00
2.841193024476746e-03	9.106978e-01	-9.979292e+00
2.853621595905320e-03	9.106864e-01	-9.979291e+00
2.866050167333893e-03	9.106750e-01	-9.979291e+00
2.878478738762466e-03	9.106636e-01	-9.979291e+00
2.890907310191039e-03	9.106523e-01	-9.979290e+00
2.903335881619612e-03	9.106409e-01	-9.979290e+00
2.915764453048185e-03	9.106295e-01	-9.979289e+00
2.924907310191043e-03	9.106211e-01	-9.979289e+00
2.934050167333902e-03	9.106127e-01	-9.979289e+00
2.943193024476760e-03	9.106044e-01	-9.979288e+00
2.952335881619618e-03	9.105960e-01	-9.979288e+00
2.961478738762477e-03	9.105876e-01	-9.979288e+00
2.970621595905335e-03	9.105793e-01	-9.979287e+00
2.979764453048193e-03	9.105709e-01	-9.979287e+00
2.983335881619623e-03	9.105676e-01	-9.979287e+00
2.986907310191051e-03	9.105644e-01	-9.979286e+00
2.990478738762480e-03	9.105611e-01	-9.979286e+00
