vin	V(vo1)	V(vo2)
-6.660000000000071e+00	-9.996051e+00	-1.158426e+00
-6.650000000000071e+00	-9.996050e+00	-1.128608e+00
-6.640000000000072e+00	-9.996049e+00	-1.098790e+00
-6.630000000000072e+00	-9.996047e+00	-1.068972e+00
-6.620000000000072e+00	-9.996046e+00	-1.039153e+00
-6.610000000000072e+00	-9.996045e+00	-1.009334e+00
-6.600000000000072e+00	-9.996044e+00	-9.795151e-01
-6.590000000000073e+00	-9.996043e+00	-9.496954e-01
-6.580000000000073e+00	-9.996042e+00	-9.198754e-01
-6.570000000000073e+00	-9.996041e+00	-8.900551e-01
-6.560000000000073e+00	-9.996039e+00	-8.602344e-01
-6.550000000000074e+00	-9.996038e+00	-8.304135e-01
-6.540000000000074e+00	-9.996037e+00	-8.005922e-01
-6.530000000000074e+00	-9.996037e+00	-7.707706e-01
-6.520000000000074e+00	-9.996036e+00	-7.409487e-01
-6.510000000000074e+00	-9.996035e+00	-7.111264e-01
-6.500000000000075e+00	-9.996034e+00	-6.813039e-01
-6.490000000000075e+00	-9.996032e+00	-6.514810e-01
-6.480000000000075e+00	-9.996031e+00	-6.216578e-01
-6.470000000000075e+00	-9.996030e+00	-5.918342e-01
-6.460000000000075e+00	-9.996029e+00	-5.620104e-01
-6.450000000000076e+00	-9.996028e+00	-5.321863e-01
-6.440000000000076e+00	-9.996027e+00	-5.023618e-01
-6.430000000000076e+00	-9.996026e+00	-4.725371e-01
-6.420000000000076e+00	-9.996024e+00	-4.427120e-01
-6.410000000000077e+00	-9.996023e+00	-4.128866e-01
-6.400000000000077e+00	-9.996022e+00	-3.830610e-01
-6.390000000000077e+00	-9.996021e+00	-3.532350e-01
-6.380000000000077e+00	-9.996020e+00	-3.234087e-01
-6.370000000000077e+00	-9.996019e+00	-2.935821e-01
-6.360000000000078e+00	-9.996018e+00	-2.637552e-01
-6.350000000000078e+00	-9.996017e+00	-2.339280e-01
-6.340000000000078e+00	-9.996016e+00	-2.041005e-01
-6.330000000000078e+00	-9.996015e+00	-1.742727e-01
-6.320000000000078e+00	-9.996014e+00	-1.444446e-01
-6.310000000000079e+00	-9.996013e+00	-1.146162e-01
-6.300000000000079e+00	-9.996012e+00	-8.478756e-02
-6.290000000000079e+00	-9.996011e+00	-5.495857e-02
-6.280000000000079e+00	-9.996010e+00	-2.512931e-02
-6.270000000000080e+00	-9.996008e+00	4.700257e-03
-6.260000000000080e+00	-9.996007e+00	3.453011e-02
-6.250000000000080e+00	-9.996006e+00	6.436025e-02
-6.240000000000080e+00	-9.996005e+00	9.419069e-02
-6.230000000000080e+00	-9.996004e+00	1.240214e-01
-6.220000000000081e+00	-9.996003e+00	1.538524e-01
-6.210000000000081e+00	-9.996002e+00	1.836837e-01
-6.200000000000081e+00	-9.996000e+00	2.135153e-01
-6.190000000000081e+00	-9.995999e+00	2.433472e-01
-6.180000000000081e+00	-9.995998e+00	2.731793e-01
-6.170000000000082e+00	-9.995997e+00	3.030117e-01
-6.160000000000082e+00	-9.995996e+00	3.328444e-01
-6.150000000000082e+00	-9.995996e+00	3.626774e-01
-6.140000000000082e+00	-9.995995e+00	3.925107e-01
-6.130000000000082e+00	-9.995993e+00	4.223442e-01
-6.120000000000083e+00	-9.995992e+00	4.521781e-01
-6.110000000000083e+00	-9.995991e+00	4.820122e-01
-6.100000000000083e+00	-9.995990e+00	5.118465e-01
-6.090000000000083e+00	-9.995989e+00	5.416812e-01
-6.080000000000084e+00	-9.995988e+00	5.715161e-01
-6.070000000000084e+00	-9.995987e+00	6.013513e-01
-6.060000000000084e+00	-9.995985e+00	6.311868e-01
-6.050000000000084e+00	-9.995984e+00	6.610225e-01
-6.040000000000084e+00	-9.995983e+00	6.908585e-01
-6.030000000000085e+00	-9.995982e+00	7.206948e-01
-6.020000000000085e+00	-9.995981e+00	7.505313e-01
-6.010000000000085e+00	-9.995980e+00	7.803681e-01
-6.000000000000085e+00	-9.995979e+00	8.102052e-01
-5.990000000000085e+00	-9.995978e+00	8.400426e-01
-5.980000000000086e+00	-9.995976e+00	8.698802e-01
-5.970000000000086e+00	-9.995975e+00	8.997180e-01
-5.960000000000086e+00	-9.995975e+00	9.295562e-01
-5.950000000000086e+00	-9.995974e+00	9.593946e-01
-5.940000000000087e+00	-9.995973e+00	9.892333e-01
-5.930000000000087e+00	-9.995972e+00	1.019072e+00
-5.920000000000087e+00	-9.995971e+00	1.048911e+00
-5.910000000000087e+00	-9.995969e+00	1.078751e+00
-5.900000000000087e+00	-9.995968e+00	1.108590e+00
-5.890000000000088e+00	-9.995967e+00	1.138430e+00
-5.880000000000088e+00	-9.995966e+00	1.168271e+00
-5.870000000000088e+00	-9.995965e+00	1.198111e+00
-5.860000000000088e+00	-9.995964e+00	1.227952e+00
-5.850000000000088e+00	-9.995963e+00	1.257793e+00
-5.840000000000089e+00	-9.995961e+00	1.287634e+00
-5.830000000000089e+00	-9.995960e+00	1.317475e+00
-5.820000000000089e+00	-9.995959e+00	1.347317e+00
-5.810000000000089e+00	-9.995958e+00	1.377159e+00
-5.800000000000090e+00	-9.995957e+00	1.407001e+00
-5.790000000000090e+00	-9.995956e+00	1.436844e+00
-5.780000000000090e+00	-9.995955e+00	1.466686e+00
-5.770000000000090e+00	-9.995954e+00	1.496529e+00
-5.760000000000090e+00	-9.995953e+00	1.526373e+00
-5.750000000000091e+00	-9.995952e+00	1.556216e+00
-5.740000000000091e+00	-9.995951e+00	1.586060e+00
-5.730000000000091e+00	-9.995950e+00	1.615904e+00
-5.720000000000091e+00	-9.995949e+00	1.645748e+00
-5.710000000000091e+00	-9.995948e+00	1.675592e+00
-5.700000000000092e+00	-9.995946e+00	1.705437e+00
-5.690000000000092e+00	-9.995945e+00	1.735282e+00
