time	V(v1)	V(v2)	V(vo2)
3.873944222931680e-03	-7.117025e-01	7.117025e-01	5.725970e+00
3.879524580074537e-03	-6.866890e-01	6.866890e-01	5.527109e+00
3.885104937217394e-03	-6.608482e-01	6.608482e-01	5.321588e+00
3.890685294360251e-03	-6.341801e-01	6.341801e-01	5.109408e+00
3.896265651503108e-03	-6.066848e-01	6.066848e-01	4.890567e+00
3.901846008645966e-03	-5.783623e-01	5.783623e-01	4.665066e+00
3.905752258645966e-03	-5.581679e-01	5.581679e-01	4.504235e+00
3.915238865788821e-03	-5.072650e-01	5.072650e-01	4.098687e+00
3.924725472931678e-03	-4.550380e-01	4.550380e-01	3.682390e+00
3.934212080074534e-03	-4.014870e-01	4.014870e-01	3.255343e+00
3.943698687217390e-03	-3.466119e-01	3.466119e-01	2.817549e+00
3.953185294360246e-03	-2.904128e-01	2.904128e-01	2.369005e+00
3.962671901503102e-03	-2.328896e-01	2.328896e-01	1.909712e+00
3.972158508645959e-03	-1.740424e-01	1.740424e-01	1.439671e+00
3.975506722931672e-03	-1.532659e-01	1.532659e-01	1.273676e+00
3.978854937217387e-03	-1.324447e-01	1.324447e-01	1.107301e+00
3.982203151503100e-03	-1.115787e-01	1.115787e-01	9.405470e-01
3.985551365788815e-03	-9.066804e-02	9.066804e-02	7.734139e-01
3.988899580074528e-03	-6.971262e-02	6.971262e-02	6.059017e-01
3.992247794360242e-03	-4.871246e-02	4.871246e-02	4.380102e-01
3.995596008645956e-03	-2.766756e-02	2.766756e-02	2.697396e-01
3.999502258645956e-03	-3.127396e-03	3.127396e-03	7.350238e-02
4.000000000000000e-03	-9.797175e-16	1.102182e-15	4.848894e-02
